,0,1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,86,94
135,14,15
136,56,57
137,115,116
138,7,10
139,2,3
140,125,128
141,77,80
142,61,62
143,48,53
144,76,79
145,126,140
146,55,136
147,4,139
148,44,47
149,106,109
150,98,99
151,113,137
152,69,93
153,108,110
154,52,143
155,8,138
156,71,89
157,35,36
158,127,129
159,26,32
160,39,41
161,78,141
162,105,107
163,72,74
164,59,67
165,0,1
166,124,158
167,58,161
168,97,103
169,42,45
170,21,22
171,70,90
172,38,40
173,112,114
174,81,163
175,29,159
176,51,154
177,75,144
178,27,28
179,60,142
180,88,156
181,37,172
182,18,20
183,102,150
184,120,123
185,49,176
186,13,135
187,95,104
188,5,17
189,117,131
190,31,178
191,87,183
192,23,24
193,34,50
194,11,155
195,84,85
196,66,164
197,16,19
198,118,184
199,100,191
200,166,173
201,6,194
202,149,162
203,73,82
204,46,64
205,119,145
206,25,170
207,132,189
208,43,193
209,83,180
210,101,111
211,96,196
212,148,185
213,9,54
214,92,121
215,182,197
216,157,188
217,167,177
218,30,190
219,198,200
220,160,181
221,130,153
222,146,212
223,12,186
224,195,209
225,208,220
226,187,199
227,179,204
228,63,134
229,192,206
230,214,221
231,133,207
232,169,222
233,201,216
234,171,210
235,152,203
236,213,218
237,168,226
238,33,68
239,151,205
240,65,235
241,224,228
242,174,217
243,147,223
244,175,225
245,215,243
246,165,236
247,122,202
248,211,238
249,227,240
250,234,237
251,239,250
252,244,245
253,230,241
254,232,233
255,91,248
256,231,247
257,219,251
258,249,253
259,229,246
260,242,257
261,252,254
262,256,258
263,255,262
264,259,261
265,260,263
266,264,265
